Merchant_Category,Buyer_Category,Departments,Volume,Revenue,Transaction_Count,Average selling price,date
New,Super Engaged,Clothing And Shoes,312117,10640.77,1916,162.9,27-11-2014 00:00
Medium Volume,Guest,Clothing And Shoes,79499,1082.66,660,120.45,19-05-2014 00:00
Medium Volume,Guest,Digital Games And Software,338434,12515.34,41297,8.2,25-01-2014 00:00
Very High Volume,Merchant,Electronics And Computers,8839643,223988.06,114357,77.3,16-03-2014 00:00
Non Merchant,Low Engaged,Clothing And Shoes,7769656,245333.83,42398,183.26,21-09-2014 00:00
Inactive Merchant,One-And-Done,Electronics And Computers,0,0,2,0,09-08-2014 00:00
Low Volume,Guest,Electronics And Computers,3671,120.09,282,13.02,19-03-2014 00:00
Low Volume,Low Engaged,Automotive,62611,2159.58,1137,55.07,21-07-2014 00:00
Very Low Volume,One-And-Done,Electronics And Computers,4843,195.28,180,26.91,03-08-2014 00:00
Low Volume,Merchant,Clothing And Shoes,19845449,630877.02,89302,222.23,12-08-2014 00:00
Inactive Merchant,One-And-Done,Home And Garden,10,0.59,17,0.59,11-07-2014 00:00
High Volume,Getting Engaged,"Movies, Music And Games",30915677,1039876.07,179759,171.98,22-06-2014 00:00
Very Low Volume,Getting Engaged,Books,9288332,350881.78,222007,41.84,28-02-2014 00:00
Very Low Volume,Very Engaged,Home And Garden,78806,3099.63,2278,34.59,11-03-2014 00:00
New,Low Engaged,Books,26157826,1004210.57,534099,48.98,23-07-2014 00:00
Unverified Merchant,Getting Engaged,"Movies, Music And Games",12268,230.55,87,141.01,10-08-2014 00:00
New,Guest,Electronics And Computers,90382328,2362147.33,781373,115.67,13-11-2014 00:00
Medium Volume,Guest,"Movies, Music And Games",559,19.89,2725,0.21,02-09-2014 00:00
Very Low Volume,Guest,Home And Garden,614113,22203.39,13993,43.89,03-08-2014 00:00
Medium Volume,One-And-Done,Electronics And Computers,338740,12673.21,6473,52.33,09-06-2014 00:00
Medium Volume,Very Engaged,Books,582770113,23206163.97,12425213,46.9,04-06-2014 00:00
Medium Volume,Guest,Home And Garden,5358400,184314.2,77559,69.09,28-07-2014 00:00
Very Low Volume,One-And-Done,Clothing And Shoes,336233,11026.29,2778,121.03,27-09-2014 00:00
Very High Volume,Merchant,Other,40578622,1176472.91,1703302,23.82,22-01-2014 00:00
Inactive Merchant,Medium Engaged,Home And Garden,0,0,32,0,15-09-2014 00:00
High Volume,Merchant,"Movies, Music And Games",285018052,7201845.35,451071,631.87,02-07-2014 00:00
New,New,Books,15638485,627200.88,354027,44.17,17-04-2014 00:00
Low Volume,Very Engaged,Automotive,74557,2560.24,1271,58.66,20-06-2014 00:00
High Volume,One-And-Done,Digital Games And Software,18236269,633782.38,292717,62.3,21-08-2014 00:00
New,Merchant,"Toys, Kids And Baby",4552705,8803.6,34872,130.55,25-08-2014 00:00
High Volume,New,Automotive,21275,731.52,542,39.25,07-01-2014 00:00
Low Volume,Guest,Clothing And Shoes,55452,911.26,892,62.17,18-05-2014 00:00
Very High Volume,One-And-Done,Books,37327008,996539.75,358735,104.05,10-03-2014 00:00
Very High Volume,Guest,Grocery,301517582,7166373.94,472506,638.12,23-08-2014 00:00
Very High Volume,Low Engaged,Electronics And Computers,13626207,435587.33,378694,35.98,04-08-2014 00:00
Very High Volume,Medium Engaged,"Movies, Music And Games",6582843,200977.71,35684,184.48,21-01-2014 00:00
High Volume,Low Engaged,Books,697897439,23358704.11,10181455,68.55,26-10-2014 00:00
Medium Volume,Casual Buyer,Books,234383256,8698233.32,3647470,64.26,23-04-2014 00:00
Low Volume,Casual Buyer,Electronics And Computers,447922,17627.68,11103,40.34,10-03-2014 00:00
New,Casual Buyer,Automotive,4850,92.29,48,101.03,01-09-2014 00:00
New,Medium Engaged,Sports And Outdoors,1592378,52815.74,7303,218.04,14-09-2014 00:00
Low Volume,Casual Buyer,Clothing And Shoes,9790538,309740.38,38573,253.82,08-02-2014 00:00
Inactive Merchant,Guest,Sports And Outdoors,5517,54.05,86,64.15,15-02-2014 00:00
Non Merchant,Super Engaged,"Movies, Music And Games",71453975,2284991.83,823711,86.75,21-02-2014 00:00
High Volume,One-And-Done,Automotive,1876,56.71,37,50.71,16-03-2014 00:00
Very High Volume,Merchant,Home And Garden,106915200,2286226.94,968854,110.35,10-12-2014 00:00
Very High Volume,Guest,Home And Garden,2547782,113308.65,158121,16.11,23-09-2014 00:00
Unverified Merchant,Merchant,Books,10200,327.92,135,75.56,14-05-2014 00:00
High Volume,Very Engaged,"Movies, Music And Games",27138704,940362.85,154814,175.3,16-08-2014 00:00
Non Merchant,Merchant,Books,625555700,21326804.15,7832037,79.87,15-04-2014 00:00
High Volume,Merchant,Other,1608361,54570.13,80369,20.01,05-09-2014 00:00
Medium Volume,Guest,Other,91,7.26,351,0.26,07-07-2014 00:00
Very Low Volume,Very Engaged,Automotive,3616,159.03,309,11.7,17-10-2014 00:00
Non Merchant,One-And-Done,Automotive,25540,608.58,410,62.29,05-12-2014 00:00
Medium Volume,Guest,Digital Games And Software,380931609,12804965.53,4311068,88.36,09-02-2014 00:00
New,Guest,Sports And Outdoors,4260079,133730.5,14981,284.37,11-07-2014 00:00
Non Merchant,One-And-Done,Sports And Outdoors,7894780,246912.18,34202,230.83,09-09-2014 00:00
High Volume,Guest,Automotive,-29,0.87,9,-3.24,10-01-2014 00:00
New,Casual Buyer,Clothing And Shoes,2140003,66054.37,5455,392.3,10-12-2014 00:00
New,Very Engaged,Sports And Outdoors,1039771,34974.31,5289,196.59,19-10-2014 00:00
Low Volume,New,Automotive,43723,1563.74,819,53.39,16-11-2014 00:00
New,Super Engaged,"Movies, Music And Games",1770239,58545.36,29008,61.03,15-03-2014 00:00
New,Super Engaged,Electronics And Computers,78687,2820.24,1506,52.25,16-09-2014 00:00
Inactive Merchant,Very Engaged,Clothing And Shoes,2994,82.19,11,272.18,11-06-2014 00:00
Medium Volume,Casual Buyer,Home And Garden,6356530,225791.94,108714,58.47,25-09-2014 00:00
Very High Volume,Getting Engaged,"Movies, Music And Games",6415033,196631.4,34452,186.2,13-09-2014 00:00
Low Volume,New,Clothing And Shoes,11204257,367647.82,43544,257.31,11-08-2014 00:00
Very High Volume,One-And-Done,Sports And Outdoors,806169,21220.99,1755,459.36,23-04-2014 00:00
New,Medium Engaged,Home And Garden,4583651,97105.72,63483,72.2,19-04-2014 00:00
Very High Volume,Medium Engaged,Digital Games And Software,88194583,2886450.73,1735830,50.81,08-07-2014 00:00
Non Merchant,Getting Engaged,Automotive,351844,7862.26,3973,88.56,02-07-2014 00:00
Low Volume,Medium Engaged,Home And Garden,3136599,116552.15,60208,52.1,24-06-2014 00:00
Low Volume,Medium Engaged,Digital Games And Software,45523934,1836264.52,1207559,37.7,23-08-2014 00:00
New,Merchant,"Movies, Music And Games",28790120,703194.65,71712,401.47,13-07-2014 00:00
Non Merchant,Low Engaged,Digital Games And Software,13601561,536025.5,339982,40.01,26-11-2014 00:00
Inactive Merchant,Low Engaged,Digital Games And Software,2423,334.68,704,3.44,05-11-2014 00:00
High Volume,Casual Buyer,Home And Garden,16113803,489933.6,257205,62.65,02-08-2014 00:00
Inactive Merchant,Getting Engaged,"Movies, Music And Games",18793,1033.32,685,27.44,17-03-2014 00:00
Very Low Volume,Super Engaged,"Movies, Music And Games",1145633,44224.2,68097,16.82,11-10-2014 00:00
Non Merchant,Guest,Clothing And Shoes,13245,954.5,592,22.37,28-02-2014 00:00
Very Low Volume,Super Engaged,Electronics And Computers,10024,379.89,300238,0.03,04-08-2014 00:00
Non Merchant,Super Engaged,Books,526036646,20295413.11,12046687,43.67,15-09-2014 00:00
High Volume,Super Engaged,Books,388465043,13209049.91,6300867,61.65,24-01-2014 00:00
Medium Volume,Casual Buyer,Sports And Outdoors,21271735,698073.9,81338,261.52,14-03-2014 00:00
High Volume,Very Engaged,Electronics And Computers,4852544,155265.53,82124,59.09,05-11-2014 00:00
Inactive Merchant,Guest,Electronics And Computers,0,0,212055,0,16-02-2014 00:00
Inactive Merchant,Guest,Grocery,1461,53.14,386,3.78,11-05-2014 00:00
Non Merchant,Getting Engaged,Books,615949226,21610874.9,8319216,74.04,23-10-2014 00:00
Inactive Merchant,Getting Engaged,Electronics And Computers,26,1.07,27,0.98,21-07-2014 00:00
Non Merchant,Medium Engaged,Automotive,446724,10608.39,5303,84.24,28-02-2014 00:00
New,One-And-Done,Books,2975790,102262.47,35739,83.26,28-06-2014 00:00
Low Volume,Guest,Clothing And Shoes,20486193,643261.66,72028,284.42,28-11-2014 00:00
Medium Volume,Getting Engaged,Books,550558212,21040418.16,9847524,55.91,13-09-2014 00:00
High Volume,Guest,Clothing And Shoes,37339,360.61,281,132.88,21-06-2014 00:00
Very High Volume,Super Engaged,"Movies, Music And Games",3313603,102156.82,18529,178.83,25-12-2014 00:00
Unverified Merchant,New,Digital Games And Software,370,19.41,12,30.8,28-08-2014 00:00
Inactive Merchant,Super Engaged,Books,10001,515.88,382,26.18,02-09-2014 00:00
Very High Volume,Merchant,Clothing And Shoes,5013039,113154.16,4700,1066.6,03-10-2014 00:00
Very High Volume,New,Sports And Outdoors,2590503,76525.28,12357,209.64,21-04-2014 00:00
Very Low Volume,Guest,Clothing And Shoes,1742083,56797.7,13547,128.6,10-11-2014 00:00
New,New,Digital Games And Software,12098434,416223.65,174638,69.28,24-04-2014 00:00
Inactive Merchant,Super Engaged,Digital Games And Software,655,44.28,113,5.8,14-02-2014 00:00
Inactive Merchant,Merchant,Clothing And Shoes,18694,641.92,69,270.93,25-02-2014 00:00
Low Volume,One-And-Done,Clothing And Shoes,4232772,131939.13,15519,272.75,23-11-2014 00:00
New,Very Engaged,"Movies, Music And Games",2844843,89225.88,22363,127.21,15-02-2014 00:00
Inactive Merchant,Merchant,"Toys, Kids And Baby",14310,71.35,225,63.6,23-03-2014 00:00
Very Low Volume,Merchant,Other,550,28.08,26157,0.02,01-05-2014 00:00
Non Merchant,Low Engaged,Automotive,448432,10265.17,4962,90.37,11-01-2014 00:00
High Volume,Medium Engaged,"Movies, Music And Games",35960612,1214480.76,203196,176.97,10-01-2014 00:00
High Volume,Low Engaged,Automotive,54497,1661.13,886,61.51,12-06-2014 00:00
Very Low Volume,Medium Engaged,Home And Garden,153211,5988.51,4172,36.72,05-07-2014 00:00
Low Volume,Merchant,Sports And Outdoors,36956164,1198192.72,185818,198.88,17-04-2014 00:00
Inactive Merchant,Super Engaged,"Movies, Music And Games",2815,163.95,466,6.04,19-07-2014 00:00
New,Getting Engaged,Electronics And Computers,397659,12697.69,6982,56.95,26-11-2014 00:00
New,Getting Engaged,Sports And Outdoors,3610211,111617.85,9988,361.45,06-03-2014 00:00
Low Volume,Guest,Home And Garden,4779,271.98,637,7.5,03-03-2014 00:00
Inactive Merchant,Getting Engaged,Clothing And Shoes,5902,25.86,25,236.09,28-10-2014 00:00
New,One-And-Done,Sports And Outdoors,1259129,38436.19,3123,403.18,20-07-2014 00:00
High Volume,Merchant,Electronics And Computers,6298959,202834.46,80514,78.23,08-11-2014 00:00
New,Guest,Books,52392,2092.41,3194,16.4,19-08-2014 00:00
Very Low Volume,Casual Buyer,Sports And Outdoors,1022136,34331.71,9500,107.59,08-03-2014 00:00
Very Low Volume,Merchant,"Toys, Kids And Baby",3937033,47222.97,235694,16.7,21-08-2014 00:00
Low Volume,Very Engaged,Books,290581381,12783051.38,10586450,27.45,15-05-2014 00:00
New,Medium Engaged,Electronics And Computers,269569,8706.72,4934,54.64,22-05-2014 00:00
Non Merchant,Merchant,Automotive,399302,10275.21,3652,109.34,26-01-2014 00:00
Low Volume,Super Engaged,Automotive,60862,2058.94,1311,46.42,10-08-2014 00:00
High Volume,Guest,Digital Games And Software,317465,12363.3,50531,6.28,18-11-2014 00:00
Unverified Merchant,Low Engaged,Digital Games And Software,133,6.83,8,16.63,03-03-2014 00:00
Low Volume,Casual Buyer,Home And Garden,2345710,87441.39,42757,54.86,12-08-2014 00:00
Inactive Merchant,Medium Engaged,Sports And Outdoors,1007,50.94,27,37.29,10-10-2014 00:00
New,One-And-Done,Other,15562,625.27,1326,11.74,14-11-2014 00:00
Low Volume,Getting Engaged,Sports And Outdoors,22278041,738234.04,129966,171.41,09-12-2014 00:00
Low Volume,Super Engaged,Digital Games And Software,16259667,695770.04,520504,31.24,28-08-2014 00:00
Very Low Volume,New,Home And Garden,153867,5959.53,4131,37.25,07-05-2014 00:00
Very High Volume,Very Engaged,Automotive,8536,223.31,170,50.21,28-07-2014 00:00
Unverified Merchant,Casual Buyer,Digital Games And Software,235,10.37,9,26.06,04-08-2014 00:00
Inactive Merchant,Medium Engaged,Books,33381,1337.54,638,52.32,13-04-2014 00:00
Low Volume,Very Engaged,Other,12912,485.9,1138,11.35,12-10-2014 00:00
Very High Volume,New,Electronics And Computers,9410792,350473.84,385086,24.44,10-10-2014 00:00
High Volume,Very Engaged,Sports And Outdoors,20619851,680356.75,93261,221.1,10-12-2014 00:00
Low Volume,Guest,Sports And Outdoors,78363,1434.72,1523,51.45,27-01-2014 00:00
New,Guest,Sports And Outdoors,6952,160.88,263,26.43,13-11-2014 00:00
Very High Volume,Getting Engaged,Home And Garden,171956152,3684097.74,2128116,80.8,01-05-2014 00:00
Unverified Merchant,One-And-Done,Clothing And Shoes,0,0,1,0,28-10-2014 00:00
Inactive Merchant,Merchant,Automotive,-350,0,8,-43.75,25-11-2014 00:00
New,Very Engaged,Clothing And Shoes,687446,22337.72,2771,248.09,02-12-2014 00:00
High Volume,Guest,Books,79205534,2502496.04,873835,90.64,24-10-2014 00:00
Medium Volume,Very Engaged,Home And Garden,5682364,198726.3,100284,56.66,27-08-2014 00:00
High Volume,Getting Engaged,Sports And Outdoors,24009402,788488.81,110428,217.42,25-05-2014 00:00
New,Guest,Electronics And Computers,361,10.19,97,3.72,20-04-2014 00:00
New,New,Sports And Outdoors,3602050,114024.72,10179,353.87,08-06-2014 00:00
Medium Volume,Getting Engaged,Clothing And Shoes,15767543,521981.62,60044,262.6,07-11-2014 00:00
Medium Volume,Medium Engaged,Automotive,83137,2716.92,1267,65.62,09-10-2014 00:00
Very Low Volume,Super Engaged,Automotive,2994,197.94,10122,0.3,25-11-2014 00:00
Very Low Volume,Very Engaged,"Movies, Music And Games",1982234,71898.82,35830,55.32,25-12-2014 00:00
New,Casual Buyer,"Movies, Music And Games",4554824,130973.78,17926,254.09,22-11-2014 00:00
Very High Volume,Low Engaged,Automotive,11952,295.06,214,55.85,21-03-2014 00:00
Very Low Volume,Guest,Books,32793,1090.49,1594,20.57,21-02-2014 00:00
New,New,Home And Garden,2911176,68265.09,39763,73.21,02-11-2014 00:00
Medium Volume,New,Home And Garden,5960442,217421.26,99256,60.05,26-05-2014 00:00
Low Volume,One-And-Done,Sports And Outdoors,7099408,221404.47,25273,280.91,02-08-2014 00:00
Unverified Merchant,Medium Engaged,Books,11525,326.85,169,68.19,12-10-2014 00:00
Medium Volume,Low Engaged,"Movies, Music And Games",85302200,2636573.28,394945,215.99,05-12-2014 00:00
High Volume,Casual Buyer,Digital Games And Software,69088949,2450728.9,1170152,59.04,10-02-2014 00:00
Very Low Volume,Low Engaged,Digital Games And Software,4214070,178993.5,162231,25.98,24-06-2014 00:00
Inactive Merchant,Very Engaged,"Movies, Music And Games",1456,344.85,308,4.73,06-07-2014 00:00
Non Merchant,Getting Engaged,Sports And Outdoors,33672746,1024110.22,179545,187.54,05-04-2014 00:00
Inactive Merchant,Getting Engaged,Home And Garden,70,2.34,68,1.04,12-09-2014 00:00
Non Merchant,Guest,Automotive,355,5.68,4,88.75,17-09-2014 00:00
Inactive Merchant,Medium Engaged,Clothing And Shoes,527,11.43,12,43.91,27-05-2014 00:00
Very Low Volume,Low Engaged,Clothing And Shoes,506121,17809.7,6217,81.41,09-03-2014 00:00
Very Low Volume,Medium Engaged,Books,11201128,447988.54,343058,32.65,26-08-2014 00:00
Unverified Merchant,Guest,Automotive,45,0,1,44.75,24-05-2014 00:00
Very Low Volume,Getting Engaged,Electronics And Computers,37606,1545.13,1494,25.17,26-06-2014 00:00
High Volume,Low Engaged,Other,1470497,47688.39,101553,14.48,15-02-2014 00:00
Medium Volume,Super Engaged,Books,571189390,23042054.45,13144248,43.46,05-02-2014 00:00
Low Volume,New,Home And Garden,2422788,91990.66,42620,56.85,28-04-2014 00:00
High Volume,Medium Engaged,Automotive,59080,1810.91,877,67.37,24-11-2014 00:00
Inactive Merchant,Low Engaged,Sports And Outdoors,-1503,30.45,41,-36.66,13-11-2014 00:00
Medium Volume,Getting Engaged,Sports And Outdoors,35679497,1195485.01,168850,211.31,12-09-2014 00:00
Low Volume,Merchant,Digital Games And Software,50104246,1966085.1,1268890,39.49,26-02-2014 00:00
Low Volume,Getting Engaged,Clothing And Shoes,12647439,409995.52,65542,192.97,01-07-2014 00:00
Very Low Volume,One-And-Done,"Movies, Music And Games",1020231,33984.37,11319,90.13,18-05-2014 00:00
Inactive Merchant,Guest,Home And Garden,19,4.49,276,0.07,15-02-2014 00:00
Medium Volume,Merchant,Books,568876407,20364423.43,7860097,72.38,22-06-2014 00:00
Unverified Merchant,New,Books,9130,315.54,97,94.12,22-12-2014 00:00
Non Merchant,Casual Buyer,Digital Games And Software,10132656,384190.28,210554,48.12,19-05-2014 00:00
Unverified Merchant,Low Engaged,Books,17000,475.43,162,104.94,27-07-2014 00:00
Very High Volume,Super Engaged,Electronics And Computers,4365391,132949.45,119951,36.39,12-11-2014 00:00
Very High Volume,New,Digital Games And Software,58109261,2067411.72,1263426,45.99,22-02-2014 00:00
Very High Volume,Guest,"Movies, Music And Games",10924,556.93,569,19.2,16-04-2014 00:00
Low Volume,Guest,Digital Games And Software,272559,9430.69,36475,7.47,20-01-2014 00:00
Very High Volume,Low Engaged,Home And Garden,164664756,3529334.98,2060770,79.9,11-09-2014 00:00
Unverified Merchant,Guest,Books,1155,38.25,16,72.16,08-10-2014 00:00
Very High Volume,Super Engaged,Automotive,1699,47.38,53,32.06,03-11-2014 00:00
Very Low Volume,Getting Engaged,Other,556,25.26,129,4.31,27-11-2014 00:00
Very High Volume,Guest,Clothing And Shoes,190526,6650.94,464,410.62,23-08-2014 00:00
Medium Volume,Medium Engaged,Digital Games And Software,84836401,3297489.56,1728914,49.07,21-05-2014 00:00
Unverified Merchant,Merchant,"Toys, Kids And Baby",20483,124.15,471,43.49,04-07-2014 00:00
Very High Volume,Medium Engaged,Electronics And Computers,12594025,413242.64,376062,33.49,02-03-2014 00:00
Non Merchant,Low Engaged,"Movies, Music And Games",243639860,6423672.22,1722271,141.46,10-01-2014 00:00
Very Low Volume,Medium Engaged,Other,420,18.79,299,1.41,04-08-2014 00:00
Non Merchant,Guest,Books,49296436,1706180.58,572937,86.04,08-02-2014 00:00
High Volume,New,Books,395600145,13923316.49,5490874,72.05,05-09-2014 00:00
Very Low Volume,Medium Engaged,Sports And Outdoors,690404,24089.4,8997,76.74,15-07-2014 00:00
Non Merchant,Guest,Digital Games And Software,35312,3021.98,7702,4.58,22-06-2014 00:00
Medium Volume,Guest,Home And Garden,3260,328.16,1420,2.3,23-12-2014 00:00
Inactive Merchant,Casual Buyer,Books,6594,523.73,310,21.27,14-09-2014 00:00
Inactive Merchant,Guest,Digital Games And Software,5058,822.68,3352,1.51,24-10-2014 00:00
Very High Volume,New,Automotive,78650,2090.57,1680,46.82,05-12-2015 00:00
Low Volume,Casual Buyer,Automotive,95243,3460.24,2036,46.78,21-07-2015 00:00
High Volume,Guest,"Movies, Music And Games",4595,131.3,2078,2.21,27-02-2015 00:00
Medium Volume,Merchant,Sports And Outdoors,122594654,3873041.87,274166,447.15,20-08-2015 00:00
High Volume,Very Engaged,Sports And Outdoors,24018050,834067.4,105112,228.5,09-07-2015 00:00
Medium Volume,Guest,Books,1128240,36621.75,64067,17.61,23-01-2015 00:00
New,New,Electronics And Computers,186229,6765.76,3315,56.18,07-06-2015 00:00
New,Very Engaged,Home And Garden,3155069,78133.51,41710,75.64,15-08-2015 00:00
Non Merchant,Very Engaged,Digital Games And Software,10984864,451088.75,309627,35.48,28-04-2015 00:00
Very Low Volume,Guest,"Movies, Music And Games",2354,76.09,2391,0.98,04-06-2015 00:00
High Volume,Getting Engaged,Books,707463354,24134078,9675350,73.12,12-11-2015 00:00
Very Low Volume,Very Engaged,Sports And Outdoors,494485,18208.79,6541,75.6,21-09-2015 00:00
Low Volume,Casual Buyer,"Movies, Music And Games",32538488,1091111.59,188136,172.95,02-06-2015 00:00
Inactive Merchant,Guest,Electronics And Computers,0,0,282450,0,09-07-2015 00:00
Medium Volume,Merchant,Digital Games And Software,115396436,4311779.04,1892937,60.96,04-04-2015 00:00
Non Merchant,New,Clothing And Shoes,7748368,243659.16,35796,216.46,03-08-2015 00:00
Very High Volume,Very Engaged,Other,31810104,963528.92,2261630,14.07,07-11-2015 00:00
Non Merchant,Super Engaged,Digital Games And Software,8693074,367817.75,275857,31.51,21-11-2015 00:00
Inactive Merchant,One-And-Done,Books,3670,143.43,116,31.63,01-10-2015 00:00
Medium Volume,Very Engaged,Automotive,513048,17999.11,9968,51.47,26-01-2015 00:00
Very High Volume,Casual Buyer,Books,162156251,4494635.9,1894120,85.61,08-06-2015 00:00
High Volume,Merchant,"Toys, Kids And Baby",252576138,53611.34,751498,336.1,26-03-2015 00:00
Very Low Volume,New,Books,4651154,189612.89,152267,30.55,07-10-2015 00:00
Unverified Merchant,Medium Engaged,Sports And Outdoors,70,2.33,1,70,27-02-2015 00:00
Non Merchant,New,Books,326629602,12252717.69,5634047,57.97,07-09-2015 00:00
Very High Volume,Low Engaged,Clothing And Shoes,2636972,78665.74,6501,405.63,07-10-2015 00:00
High Volume,New,"Movies, Music And Games",16252703,630307.81,102576,158.45,11-04-2015 00:00
Non Merchant,One-And-Done,"Movies, Music And Games",40126773,1144817.77,250676,160.07,26-03-2015 00:00
Very High Volume,Very Engaged,Electronics And Computers,15110786,464237.95,325386,46.44,01-10-2015 00:00
Medium Volume,Low Engaged,Home And Garden,22541882,807190.4,393319,57.31,28-05-2015 00:00
High Volume,One-And-Done,Other,77320,2492.08,7811,9.9,05-03-2015 00:00
Medium Volume,Medium Engaged,Home And Garden,18128762,650990.43,317155,57.16,09-09-2015 00:00
Medium Volume,Casual Buyer,"Movies, Music And Games",41287325,1390838.48,174164,237.06,04-03-2015 00:00
Very High Volume,Very Engaged,"Movies, Music And Games",6446429,221774.81,40164,160.5,28-11-2015 00:00
Very Low Volume,Guest,Electronics And Computers,1787161,67293.13,98609,18.12,05-01-2015 00:00
Low Volume,Merchant,Home And Garden,3096535,113968.61,53047,58.37,12-01-2015 00:00
Unverified Merchant,Medium Engaged,Digital Games And Software,-1006,9.07,12,-83.84,19-04-2015 00:00
New,Merchant,Books,26398017,948877.78,404186,65.31,01-06-2015 00:00
Non Merchant,Getting Engaged,Clothing And Shoes,13145182,407435.13,60807,216.18,09-03-2015 00:00
New,Super Engaged,Automotive,13665,534.08,991,13.79,05-01-2015 00:00
Non Merchant,Low Engaged,Sports And Outdoors,38671834,1183178.21,218992,176.59,14-12-2015 00:00
Non Merchant,Very Engaged,Clothing And Shoes,7422087,248791.03,48245,153.84,04-09-2015 00:00
Unverified Merchant,Very Engaged,Books,14029,533.76,543,25.84,03-12-2015 00:00
High Volume,Casual Buyer,Other,505315,17549.73,41372,12.21,15-08-2015 00:00
High Volume,Merchant,Clothing And Shoes,67184721,2006223.13,81464,824.72,17-06-2015 00:00
Non Merchant,Medium Engaged,Automotive,1768854,49814.36,23782,74.38,04-10-2015 00:00
High Volume,Medium Engaged,Other,1750725,64947.29,108960,16.07,17-08-2015 00:00
Unverified Merchant,Guest,Clothing And Shoes,1511,44.13,1,1511.42,20-04-2015 00:00
Very Low Volume,Super Engaged,Other,537,12.26,262,2.05,24-01-2015 00:00
Very High Volume,Getting Engaged,Sports And Outdoors,8110070,251110.95,26812,302.48,17-11-2015 00:00
Very High Volume,Low Engaged,Electronics And Computers,30469424,869434.49,574581,53.03,15-05-2015 00:00
Low Volume,Getting Engaged,Other,34049,936.5,1765,19.29,01-11-2015 00:00
Very High Volume,One-And-Done,Digital Games And Software,11925503,361241.01,182028,65.51,16-01-2015 00:00
Very Low Volume,Merchant,Digital Games And Software,3639921,153480.1,211982,17.17,14-07-2015 00:00
Very Low Volume,Casual Buyer,Clothing And Shoes,864511,28382.96,7646,113.07,04-11-2015 00:00
Inactive Merchant,Merchant,Sports And Outdoors,38667,919.1,152,254.39,23-08-2015 00:00
New,Merchant,Automotive,40392,1211.1,422,95.72,03-08-2015 00:00
New,Guest,Electronics And Computers,924,46.51,141,6.55,11-02-2015 00:00
Inactive Merchant,One-And-Done,Home And Garden,10,0.78,30,0.35,05-10-2015 00:00
Low Volume,Guest,Electronics And Computers,53290564,1807066.83,937783,56.83,05-02-2015 00:00
High Volume,Getting Engaged,"Movies, Music And Games",34785532,1214348.31,188494,184.54,20-05-2015 00:00
Very High Volume,Low Engaged,Sports And Outdoors,7988143,242645.75,26884,297.13,19-11-2015 00:00
High Volume,Guest,Grocery,1026406466,28490071.3,2331595,440.22,23-09-2015 00:00
Low Volume,Merchant,Electronics And Computers,688348,26085.09,15539,44.3,13-06-2015 00:00
Low Volume,Guest,Sports And Outdoors,125012,2058.89,1243,100.57,17-10-2015 00:00
Low Volume,Very Engaged,Automotive,314386,11795.39,9082,34.62,15-05-2015 00:00
Unverified Merchant,Low Engaged,Automotive,20,0,1,20,20-09-2015 00:00
Very High Volume,Medium Engaged,"Movies, Music And Games",8612202,288842.17,50700,169.87,04-07-2015 00:00
Inactive Merchant,Getting Engaged,Electronics And Computers,0,0,2,0,04-12-2015 00:00
Low Volume,Getting Engaged,"Movies, Music And Games",58054235,1948514.97,393676,147.47,21-11-2015 00:00
High Volume,Getting Engaged,Other,1613224,57797.93,105720,15.26,24-09-2015 00:00
Non Merchant,Guest,Sports And Outdoors,19302425,627508.46,100099,192.83,14-04-2015 00:00
Very Low Volume,Medium Engaged,Other,963,30.43,72,13.37,08-08-2015 00:00
Medium Volume,Casual Buyer,Automotive,132913,4455.45,2292,57.99,11-07-2015 00:00
Very High Volume,Merchant,Clothing And Shoes,16247280,427950.2,13955,1164.26,13-08-2015 00:00
Low Volume,New,Books,130348188,5857933.36,4692540,27.78,24-07-2015 00:00
Unverified Merchant,Medium Engaged,Automotive,25,0,1,25,11-02-2015 00:00
Very Low Volume,Super Engaged,Books,7815518,336382.19,310280,25.19,11-07-2015 00:00
High Volume,Guest,Sports And Outdoors,88525,1586.68,653,135.57,09-11-2015 00:00
Very High Volume,Low Engaged,Automotive,216901,5470.54,3775,57.46,05-06-2015 00:00
Inactive Merchant,Guest,Electronics And Computers,3316,182.49,992,3.34,16-11-2015 00:00
Very High Volume,Guest,Home And Garden,11965617,417743.03,370438,32.3,03-02-2015 00:00
Low Volume,Guest,Home And Garden,9096860,316168.74,138864,65.51,03-02-2015 00:00
Inactive Merchant,Very Engaged,Automotive,100,3.2,1,100,04-07-2015 00:00
Non Merchant,Casual Buyer,Sports And Outdoors,29085654,911538.12,129243,225.05,24-12-2015 00:00
Unverified Merchant,Guest,Digital Games And Software,113,4.48,4,28.36,26-06-2015 00:00
Medium Volume,Merchant,Automotive,1487055,45321.01,9717,153.04,18-03-2015 00:00
Non Merchant,Super Engaged,Automotive,565759,18009.31,10686,52.94,19-01-2015 00:00
High Volume,Low Engaged,Clothing And Shoes,15746415,548726.19,51013,308.67,18-09-2015 00:00
New,Guest,Electronics And Computers,131268036,3302192.33,731764,179.39,22-06-2015 00:00
High Volume,Casual Buyer,Sports And Outdoors,14715584,500170.93,55776,263.83,14-02-2015 00:00
Very Low Volume,Getting Engaged,"Movies, Music And Games",5005935,174889.32,65062,76.94,28-06-2015 00:00
